"effect","term","estimate","std.error","statistic","df","p.value","conf.low","conf.high","taxon","p_adj_BH","taxon_short"
"fixed","age_months:study_conditionT1D",1.539468480169,1.06590202410138,1.44428704079708,114.837063924407,0.151381110265235,-0.571910138373875,3.65084709871187,"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii",0.325895170192492,"s__Faecalibacterium_prausnitzii"
"fixed","(Intercept)",6.64513389148925,1.00836230707361,6.59002606986991,22.1580330133705,1.21248366371777e-06,4.55478286762565,8.73548491535285,"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_fragilis",1.81872549557665e-06,"s__Bacteroides_fragilis"
"fixed","age_months",-1.07338817286654,0.321219318385635,-3.34160528781742,100.51111616529,0.00117045837911772,-1.71063846945483,-0.436137876278253,"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_fragilis",0.0140455005494126,"s__Bacteroides_fragilis"
"fixed","study_conditionT1D",0.400007434771558,2.18738190708636,0.182870413929855,21.7827990740153,0.856591058779426,-4.13896900009208,4.9389838696352,"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_fragilis",0.907062745853591,"s__Bacteroides_fragilis"
"fixed","age_months:study_conditionT1D",1.11938660918562,0.759495591875143,1.47385530760215,100.743331407886,0.143638484960363,-0.387294878764552,2.62606809713578,"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_fragilis",0.325895170192492,"s__Bacteroides_fragilis"
"fixed","(Intercept)",5.54931009111663,1.01126519050087,5.48749244337001,31.9010982475386,4.85483568402835e-06,3.48917981775403,7.60944036447924,"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_bifidum",6.47311424537113e-06,"s__Bifidobacterium_bifidum"
"fixed","age_months",-0.110719845656987,0.483513725111509,-0.228990078061285,102.945496270131,0.81933092952016,-1.06966131420046,0.848221622886484,"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_bifidum",0.893815559476538,"s__Bifidobacterium_bifidum"
"fixed","study_conditionT1D",-1.02162695712854,2.18273740785512,-0.468048494267779,31.0471598063077,0.643019100989486,-5.47307519453432,3.42982128027724,"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_bifidum",0.907062745853591,"s__Bifidobacterium_bifidum"
"fixed","age_months:study_conditionT1D",0.357918404096615,1.14190500143487,0.31343973767246,103.645139327306,0.754576508803637,-1.90661331687571,2.62245012506894,"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_bifidum",0.768072183673513,"s__Bifidobacterium_bifidum"
"fixed","(Intercept)",8.26889548025958,0.495343024629452,16.693271266806,61.3350217627765,1.73148061468272e-24,7.27850529275439,9.25928566776478,"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum",2.07777673761926e-23,"s__Bifidobacterium_longum"
"fixed","age_months",-0.2768119848234,0.327908547046511,-0.844174350795854,109.361269093094,0.400414837250828,-0.926691969079316,0.373067999432515,"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum",0.600622255876242,"s__Bifidobacterium_longum"
"fixed","study_conditionT1D",2.05192288717228,1.06591819573242,1.92502848284933,62.4446426512986,0.0587837036329538,-0.0785154629262839,4.18236123727084,"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum",0.705404443595446,"s__Bifidobacterium_longum"
"fixed","age_months:study_conditionT1D",-2.04490850555276,0.770795503948542,-2.65298447523026,111.322244514727,0.00914465235145808,-3.5722425340793,-0.517574477026225,"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum",0.0548679141087485,"s__Bifidobacterium_longum"
"fixed","(Intercept)",5.21328120288145,0.626287950777834,8.3240962825593,68.4957172885585,5.37290377458005e-12,3.96370680426151,6.46285560150139,"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_wexlerae",2.14916150983202e-11,"s__Blautia_wexlerae"
"fixed","age_months",1.18350963785423,0.42084203563002,2.81224197597671,110.785330431633,0.00582077575492045,0.349565243431034,2.01745403227742,"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_wexlerae",0.0349246545295227,"s__Blautia_wexlerae"
"fixed","study_conditionT1D",0.712608585558859,1.34806664393438,0.528615249672735,70.0579915840807,0.59874310378471,-1.97598643119742,3.40120360231514,"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_wexlerae",0.907062745853591,"s__Blautia_wexlerae"
"fixed","age_months:study_conditionT1D",1.06948927392336,0.98870191118553,1.08171053562642,112.524866733108,0.281693907416367,-0.889397048975058,3.02837559682178,"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_wexlerae",0.422540861124551,"s__Blautia_wexlerae"
"fixed","(Intercept)",4.45914175789429,0.795931471517825,5.60241919997308,51.9205834281749,8.14435329010554e-07,2.86193026213151,6.05635325365706,"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus",1.39617484973238e-06,"s__Bacteroides_ovatus"
"fixed","age_months",0.431195180092439,0.496935106827343,0.867709232389279,107.286386759605,0.387490238997716,-0.553890640664603,1.41628100084948,"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus",0.600622255876242,"s__Bacteroides_ovatus"
"fixed","study_conditionT1D",2.27294256407653,1.71218895673167,1.32750684738399,51.7865758663856,0.190163614569849,-1.16315300305965,5.70903813121272,"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus",0.907062745853591,"s__Bacteroides_ovatus"
"fixed","age_months:study_conditionT1D",1.01147408387162,1.17003797557175,0.864479704923558,108.996068228354,0.389222975406747,-1.30750408435059,3.33045225209383,"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus",0.518963967208995,"s__Bacteroides_ovatus"
"fixed","(Intercept)",6.51148513255713,0.929080193082148,7.00852862975779,25.0724849625606,2.36121025407969e-07,4.59828911538301,8.42468114973125,"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_distasonis",4.72242050815937e-07,"s__Parabacteroides_distasonis"
"fixed","age_months",-0.344111578209211,0.352281959022462,-0.976807268711906,101.344710425804,0.330990510437128,-1.04291540713608,0.354692250717659,"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_distasonis",0.600622255876242,"s__Parabacteroides_distasonis"
