effect	term	estimate	std.error	statistic	df	p.value	conf.low	conf.high	significance
fixed	(Intercept)	0.293057930313558	0.0421369246661986	6.95489603560564	51.2613026678581	6.25667728009929e-09	0.208474992806998	0.377640867820119	p < 0.001
fixed	time_from_baseline_months	0.021430395615243	0.0025258560477756	8.48440893300935	110.321132275259	1.10350216429631e-13	0.0164249038241304	0.0264358874063555	p < 0.001
