sample_id	subject_id	study_condition	time_months	time_years	taxon	relative_abundance	rel_abund_log10	taxon_short
PRJNA231909.3113111	E001463	control	12.8131416837782	1.06776180698152	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_vulgatus	0.4279289	-0.368618233994027	s__Bacteroides_vulgatus
PRJNA231909.3113111	E001463	control	12.8131416837782	1.06776180698152	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_dorei	6.2e-05	-4.14266750356873	s__Bacteroides_dorei
PRJNA231909.3113111	E001463	control	12.8131416837782	1.06776180698152	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis	0.2494429	-0.603011442830526	s__Bacteroides_uniformis
PRJNA231909.3113111	E001463	control	12.8131416837782	1.06776180698152	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii	0.0443961	-1.3525573673995	s__Faecalibacterium_prausnitzii
PRJNA231909.3113111	E001463	control	12.8131416837782	1.06776180698152	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_fragilis	0	-5	s__Bacteroides_fragilis
PRJNA231909.3113111	E001463	control	12.8131416837782	1.06776180698152	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_bifidum	0.0207266	-1.68326244960004	s__Bifidobacterium_bifidum
PRJNA231909.3113111	E001463	control	12.8131416837782	1.06776180698152	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum	0.0219876	-1.65762469934206	s__Bifidobacterium_longum
PRJNA231909.3113111	E001463	control	12.8131416837782	1.06776180698152	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_wexlerae	0.0471536	-1.32639305259171	s__Blautia_wexlerae
PRJNA231909.3113111	E001463	control	12.8131416837782	1.06776180698152	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus	0	-5	s__Bacteroides_ovatus
PRJNA231909.3113111	E001463	control	12.8131416837782	1.06776180698152	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_distasonis	0.0357346	-1.44678955854372	s__Parabacteroides_distasonis
PRJNA231909.3113111	E001463	control	12.8131416837782	1.06776180698152	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_intestinalis	0	-5	s__Roseburia_intestinalis
PRJNA231909.3113111	E001463	control	12.8131416837782	1.06776180698152	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_copri	0	-5	s__Prevotella_copri
PRJNA231909.3113114	E001463	control	18.7268993839836	1.5605749486653	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_vulgatus	0.175134887567444	-0.756602535101373	s__Bacteroides_vulgatus
PRJNA231909.3113114	E001463	control	18.7268993839836	1.5605749486653	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_dorei	0.000338800169400085	-3.45742331281773	s__Bacteroides_dorei
PRJNA231909.3113114	E001463	control	18.7268993839836	1.5605749486653	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis	0.0761990380995191	-1.11799351994672	s__Bacteroides_uniformis
PRJNA231909.3113114	E001463	control	18.7268993839836	1.5605749486653	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii	0.08014264007132	-1.09608216826276	s__Faecalibacterium_prausnitzii
PRJNA231909.3113114	E001463	control	18.7268993839836	1.5605749486653	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_fragilis	1.35000067500034e-05	-4.62893201298406	s__Bacteroides_fragilis
PRJNA231909.3113114	E001463	control	18.7268993839836	1.5605749486653	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_bifidum	0.0209087104543552	-1.67946509130665	s__Bifidobacterium_bifidum
PRJNA231909.3113114	E001463	control	18.7268993839836	1.5605749486653	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum	0.0253397126698563	-1.59602695887909	s__Bifidobacterium_longum
PRJNA231909.3113114	E001463	control	18.7268993839836	1.5605749486653	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_wexlerae	0.0565438282719141	-1.24753799124969	s__Blautia_wexlerae
PRJNA231909.3113114	E001463	control	18.7268993839836	1.5605749486653	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus	3.92000196000098e-05	-4.30803472422097	s__Bacteroides_ovatus
PRJNA231909.3113114	E001463	control	18.7268993839836	1.5605749486653	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_distasonis	0.0133103066551533	-1.87548577688434	s__Parabacteroides_distasonis
PRJNA231909.3113114	E001463	control	18.7268993839836	1.5605749486653	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_intestinalis	0	-5	s__Roseburia_intestinalis
PRJNA231909.3113114	E001463	control	18.7268993839836	1.5605749486653	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_copri	0	-5	s__Prevotella_copri
PRJNA231909.3113118	E001463	control	21.6837782340862	1.80698151950719	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_vulgatus	0.286452842709431	-0.542931702676679	s__Bacteroides_vulgatus
PRJNA231909.3113118	E001463	control	21.6837782340862	1.80698151950719	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_dorei	2.36999952600009e-05	-4.4723701602134	s__Bacteroides_dorei
PRJNA231909.3113118	E001463	control	21.6837782340862	1.80698151950719	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis	0.310008537998292	-0.508612336134598	s__Bacteroides_uniformis
PRJNA231909.3113118	E001463	control	21.6837782340862	1.80698151950719	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii	0.0350273929945214	-1.45546821558085	s__Faecalibacterium_prausnitzii
PRJNA231909.3113118	E001463	control	21.6837782340862	1.80698151950719	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_fragilis	1.84999963000007e-05	-4.54515519637357	s__Bacteroides_fragilis
PRJNA231909.3113118	E001463	control	21.6837782340862	1.80698151950719	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_bifidum	0.00711139857772028	-2.14743470651214	s__Bifidobacterium_bifidum
PRJNA231909.3113118	E001463	control	21.6837782340862	1.80698151950719	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum	0.0128023974395205	-1.89236959801996	s__Bifidobacterium_longum
PRJNA231909.3113118	E001463	control	21.6837782340862	1.80698151950719	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_wexlerae	0.0157386968522606	-1.80275537668624	s__Blautia_wexlerae
PRJNA231909.3113118	E001463	control	21.6837782340862	1.80698151950719	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus	2.09999958000008e-05	-4.50863836500562	s__Bacteroides_ovatus
PRJNA231909.3113118	E001463	control	21.6837782340862	1.80698151950719	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_distasonis	0.0417661916467617	-1.3790711532064	s__Parabacteroides_distasonis
PRJNA231909.3113118	E001463	control	21.6837782340862	1.80698151950719	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_intestinalis	0	-5	s__Roseburia_intestinalis
PRJNA231909.3113118	E001463	control	21.6837782340862	1.80698151950719	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_copri	0	-5	s__Prevotella_copri
PRJNA231909.3113627	E001463	control	26.1190965092402	2.17659137577002	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_vulgatus	0.257214625721463	-0.589687456031692	s__Bacteroides_vulgatus
PRJNA231909.3113627	E001463	control	26.1190965092402	2.17659137577002	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_dorei	1.56000015600002e-05	-4.59176000822333	s__Bacteroides_dorei
PRJNA231909.3113627	E001463	control	26.1190965092402	2.17659137577002	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis	0.445205944520594	-0.35142929066861	s__Bacteroides_uniformis
PRJNA231909.3113627	E001463	control	26.1190965092402	2.17659137577002	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii	0.0519999051999905	-1.28391393782599	s__Faecalibacterium_prausnitzii
PRJNA231909.3113627	E001463	control	26.1190965092402	2.17659137577002	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_fragilis	1.13000011300001e-05	-4.67162037352122	s__Bacteroides_fragilis
PRJNA231909.3113627	E001463	control	26.1190965092402	2.17659137577002	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_bifidum	0.0169933016993302	-1.76946673917627	s__Bifidobacterium_bifidum
PRJNA231909.3113627	E001463	control	26.1190965092402	2.17659137577002	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum	0.0287594028759403	-1.54106915202609	s__Bifidobacterium_longum
PRJNA231909.3113627	E001463	control	26.1190965092402	2.17659137577002	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_wexlerae	0.0387310038731004	-1.41182912985079	s__Blautia_wexlerae
PRJNA231909.3113627	E001463	control	26.1190965092402	2.17659137577002	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus	3.10000031000003e-06	-4.88272869406704	s__Bacteroides_ovatus
PRJNA231909.3113627	E001463	control	26.1190965092402	2.17659137577002	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_distasonis	0.0435185043518504	-1.36122625503184	s__Parabacteroides_distasonis
PRJNA231909.3113627	E001463	control	26.1190965092402	2.17659137577002	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_intestinalis	0	-5	s__Roseburia_intestinalis
PRJNA231909.3113627	E001463	control	26.1190965092402	2.17659137577002	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_copri	0	-5	s__Prevotella_copri
PRJNA231909.3101335	E003251	T1D	0	0	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_vulgatus	7.68109839707078e-05	-4.06142532118215	s__Bacteroides_vulgatus
