model	npar	AIC	BIC	logLik	-2*log(L)	Chisq	Df	Pr(>Chisq)
fit_baseline_lmm_reduced_ml	4	-0.0661371992105977	11.0838297719176	4.0330685996053	-8.0661371992106	NA	NA	NA
fit_baseline_lmm_full_ml	6	3.81398201169527	20.5389324683876	4.09300899415236	-8.18601798830473	0.119880789094129	2	0.94182066955882
