model	npar	AIC	BIC	logLik	-2*log(L)	Chisq	Df	Pr(>Chisq)
fit_shannon_lmm_reduced_ml	4	160.446251108957	171.596218080086	-76.2231255544787	152.446251108957	NA	NA	NA
fit_shannon_lmm_full_ml	6	164.192514659834	180.917465116526	-76.0962573299171	152.192514659834	0.253736449123323	2	0.880849739310126
