effect	term	estimate	std.error	statistic	df	p.value	conf.low	conf.high	significance
fixed	(Intercept)	2.34719089912574	0.110875711756398	21.1695678155618	32.4133792581552	1.51013046579392e-20	2.12145737303868	2.57292442521279	p < 0.001
fixed	time_months	0.0157502020975329	0.00538694671960552	2.92377164975677	103.820427436128	0.00424599548492088	0.00506746713293808	0.0264329370621276	p < 0.01
fixed	study_conditionT1D	0.0632429270370072	0.23329617132588	0.271084290314675	28.7036000901832	0.788266224767365	-0.414115427171567	0.540601281245582	not significant
fixed	time_months:study_conditionT1D	0.00251175500503817	0.011673502827456	0.215167207492384	105.404423049918	0.830052733482625	-0.0206336095763311	0.0256571195864074	not significant
